Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
325.75018,318.3821,324.76114,-286.7675,0.0,1.0,Nothing
2294.1926,2242.3438,2287.2842,-2020.4066,0.0,2.0,Nothing
7691.7812,7518.184,7668.9014,-6774.3755,0.0,3.0,Nothing
16703.947,16327.713,16655.133,-14711.27,0.0,4.0,Nothing
26903.844,26299.646,26827.201,-23693.342,0.0,5.0,Nothing
34569.71,33796.742,34474.85,-30443.3,0.0,6.0,Nothing
36861.848,36043.195,36766.457,-32460.969,0.0,7.0,Nothing
33372.66,32639.66,33294.613,-29387.586,0.0,8.0,Nothing
26120.555,25557.68,26070.525,-23000.543,0.0,9.0,Nothing
17982.205,17608.06,17961.504,-15833.229,0.0,10.0,Nothing
11005.675,10792.365,11009.258,-9689.331,0.0,11.0,Nothing
5942.1187,5845.0137,5962.8706,-5230.1577,0.0,12.0,Nothing
2700.3875,2677.287,2731.792,-2375.2385,0.0,13.0,Nothing
716.9126,738.7082,754.47296,-628.4218,0.0,14.0,Nothing
-865.3609,-808.1272,-823.3285,764.78784,0.0,15.0,Nothing
-2763.3186,-2663.788,-2716.2595,2435.7559,0.0,16.0,Nothing
-5097.746,-4946.3975,-5044.791,4491.075,0.0,17.0,Nothing
-7513.567,-7309.012,-7454.9746,6618.072,0.0,18.0,Nothing
-9697.592,-9445.531,-9634.54,8540.833,0.0,19.0,Nothing
-11578.533,-11286.219,-11512.332,10196.671,0.0,20.0,Nothing
-13121.545,-12796.946,-13053.531,11555.09,0.0,21.0,Nothing
-14249.538,-13902.298,-14181.211,12548.22,0.0,22.0,Nothing
-15020.362,-14658.695,-14952.948,13226.917,0.0,23.0,Nothing
-15646.928,-15274.119,-15580.92,13778.719,0.0,24.0,Nothing
-16255.9375,-15872.391,-16191.423,14315.279,0.0,25.0,Nothing
-16779.572,-16387.314,-16716.88,14776.776,0.0,26.0,Nothing
-17134.86,-16737.867,-17074.592,15089.95,0.0,27.0,Nothing
-17357.203,-16958.637,-17299.824,15285.933,0.0,28.0,Nothing
-17493.52,-17095.389,-17439.28,15406.078,0.0,29.0,Nothing
-17500.309,-17105.52,-17449.53,15412.06,0.0,30.0,Nothing
-17333.723,-16946.105,-17286.791,15265.207,0.0,31.0,Nothing
-17045.365,-16667.535,-17002.477,15011.037,0.0,32.0,Nothing
-16709.205,-16342.098,-16670.35,14714.812,0.0,33.0,Nothing
-16321.893,-15966.551,-16287.154,14373.581,0.0,34.0,Nothing
-15843.887,-15502.274,-15813.526,13952.447,0.0,35.0,Nothing
-15285.436,-14959.283,-15259.668,13460.474,0.0,36.0,Nothing
-14687.586,-14377.661,-14666.439,12933.924,0.0,37.0,Nothing
-14054.742,-13761.67,-14038.166,12376.664,0.0,38.0,Nothing
-13362.913,-13087.826,-13350.8545,11767.451,0.0,39.0,Nothing
-12613.902,-12357.876,-12606.222,11107.804,0.0,40.0,Nothing
-11836.681,-11600.132,-11833.127,10423.232,0.0,41.0,Nothing
-11046.506,-10829.518,-11046.859,9727.119,0.0,42.0,Nothing
-10235.862,-10038.71,-10240.054,9012.814,0.0,43.0,Nothing
-9400.225,-9223.3125,-9408.287,8276.485,0.0,44.0,Nothing
-8549.638,-8393.166,-8561.573,7527.2236,0.0,45.0,Nothing
-7696.4688,-7560.3623,-7712.171,6775.989,0.0,46.0,Nothing
-6844.9346,-6729.01,-6864.1904,6026.3237,0.0,47.0,Nothing
-5992.489,-5896.6055,-6015.0293,5275.8125,0.0,48.0,Nothing
-5137.569,-5061.6104,-5163.1333,4523.027,0.0,49.0,Nothing
-4287.331,-4231.001,-4315.697,3774.2297,0.0,50.0,Nothing
-3454.3423,-3417.04,-3485.3206,3040.4106,0.0,51.0,Nothing
-2641.6074,-2622.6658,-2675.0361,2324.2556,0.0,52.0,Nothing
-1839.95,-1838.9409,-1875.6997,1617.901,0.0,53.0,Nothing
-1047.8501,-1064.4193,-1085.7869,920.1965,0.0,54.0,Nothing
-280.64212,-314.12222,-320.57834,244.65134,0.0,55.0,Nothing
451.87698,402.35205,410.17618,-400.20056,0.0,56.0,Nothing
1161.2144,1096.257,1117.99,-1024.5831,0.0,57.0,Nothing
1857.0938,1777.1344,1812.595,-1637.171,0.0,58.0,Nothing
2525.3174,2431.1345,2479.8252,-2225.577,0.0,59.0,Nothing
3149.7898,3042.502,3103.5718,-2775.6228,0.0,60.0,Nothing
3740.4875,3620.9385,3693.7178,-3295.9517,0.0,61.0,Nothing
4314.0674,4182.7163,4266.8525,-3801.1077,0.0,62.0,Nothing
4860.949,4718.5146,4813.4526,-4282.651,0.0,63.0,Nothing
5360.8203,5208.5166,5313.29,-4722.724,0.0,64.0,Nothing
5819.363,5658.2466,5772.019,-5126.307,0.0,65.0,Nothing
6257.453,6088.056,6210.419,-5511.787,0.0,66.0,Nothing
6671.7603,6494.67,6625.1406,-5876.349,0.0,67.0,Nothing
