Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
298.37152,292.21002,297.52087,284.3301,7.0,1.0,Ring and pinky open
2101.6084,2058.257,2095.6704,2002.6926,0.0,2.0,Nothing
7047.7803,6902.652,7028.118,6716.071,0.0,3.0,Nothing
15310.9795,14996.462,15269.018,14590.409,0.0,4.0,Nothing
24671.383,24166.29,24605.445,23510.385,0.0,5.0,Nothing
31715.592,31069.402,31633.908,30223.238,0.0,6.0,Nothing
33832.1,33147.812,33749.94,32240.37,0.0,7.0,Nothing
30641.21,30028.787,30574.04,29199.945,0.0,8.0,Nothing
23994.48,23524.664,23951.53,22866.34,0.0,9.0,Nothing
16532.676,16220.984,16514.994,15755.942,0.0,10.0,Nothing
10134.147,9957.13,10137.272,9658.644,0.0,11.0,Nothing
5487.3174,5407.5337,5505.0386,5230.488,0.0,12.0,Nothing
2510.3545,2492.455,2537.068,2393.572,0.0,13.0,Nothing
688.4745,708.1024,720.3808,657.3833,0.0,14.0,Nothing
-764.65234,-715.3983,-728.91284,-727.40643,0.0,15.0,Nothing
-2507.9485,-2423.3232,-2467.8223,-2388.7336,0.0,16.0,Nothing
-4652.2686,-4524.3257,-4606.9497,-4432.2544,0.0,17.0,Nothing
-6870.9526,-6698.578,-6820.61,-6546.6797,0.0,18.0,Nothing
-8876.43,-8664.444,-8822.02,-8457.94,0.0,19.0,Nothing
-10603.785,-10358.274,-10546.4,-10104.146,0.0,20.0,Nothing
-12021.189,-11748.824,-11962.003,-11454.967,0.0,21.0,Nothing
-13057.494,-12766.346,-12997.877,-12442.626,0.0,22.0,Nothing
-13765.454,-13462.409,-13706.565,-13117.391,0.0,23.0,Nothing
-14340.622,-14028.443,-14282.967,-13665.573,0.0,24.0,Nothing
-14899.811,-14578.809,-14843.476,-14198.457,0.0,25.0,Nothing
-15381.157,-15052.93,-15326.365,-14657.084,0.0,26.0,Nothing
-15708.234,-15375.983,-15655.43,-14968.665,0.0,27.0,Nothing
-15912.909,-15579.22,-15862.476,-15163.637,0.0,28.0,Nothing
-16038.16,-15704.756,-15990.383,-15282.998,0.0,29.0,Nothing
-16044.605,-15713.996,-15999.851,-15289.2,0.0,30.0,Nothing
-15892.091,-15567.543,-15850.772,-15143.919,0.0,31.0,Nothing
-15627.365,-15311.106,-15589.706,-14891.663,0.0,32.0,Nothing
-15318.214,-15011.046,-15284.233,-14597.036,0.0,33.0,Nothing
-14962.443,-14665.214,-14932.193,-14257.986,0.0,34.0,Nothing
-14524.22,-14238.515,-14497.852,-13840.384,0.0,35.0,Nothing
-14012.193,-13739.395,-13989.785,-13352.444,0.0,36.0,Nothing
-13463.438,-13204.149,-13444.908,-12829.469,0.0,37.0,Nothing
-12882.615,-12637.3545,-12867.848,-12275.886,0.0,38.0,Nothing
-12248.211,-12017.967,-12237.166,-11671.192,0.0,39.0,Nothing
-11561.032,-11346.789,-11553.691,-11016.172,0.0,40.0,Nothing
-10846.8,-10649.023,-10843.112,-10335.387,0.0,41.0,Nothing
-10120.213,-9939.074,-10120.125,-9642.911,0.0,42.0,Nothing
-9375.516,-9211.285,-9379.001,-8933.293,0.0,43.0,Nothing
-8608.261,-8461.2705,-8615.276,-8202.257,0.0,44.0,Nothing
-7826.622,-7696.9966,-7837.044,-7457.5205,0.0,45.0,Nothing
-7041.9355,-6929.5317,-7055.564,-6709.8076,0.0,46.0,Nothing
-6258.596,-6163.154,-6275.223,-5963.251,0.0,47.0,Nothing
-5473.6987,-5395.021,-5493.171,-5215.078,0.0,48.0,Nothing
-4684.724,-4622.6914,-4706.932,-4462.927,0.0,49.0,Nothing
-3898.6372,-3853.0078,-3923.4329,-3713.4722,0.0,50.0,Nothing
-3128.704,-3098.9695,-3155.8452,-2979.3728,0.0,51.0,Nothing
-2378.7102,-2364.3018,-2407.9197,-2264.263,0.0,52.0,Nothing
-1640.174,-1640.7522,-1671.2557,-1560.1451,0.0,53.0,Nothing
-912.1791,-927.49506,-945.0472,-866.2717,0.0,54.0,Nothing
-210.14908,-239.6672,-244.74446,-197.41618,0.0,55.0,Nothing
456.4512,413.48526,420.22562,437.41928,0.0,56.0,Nothing
