Channel_0,Average_0,Time,Time_Average,Channel_1,Average_1,Channel_3,Average_3,Blink,Don't Use,Blink_Averaged
-2955.373662,-2906.501398,0.149,1.4736,-3518.828859,-3473.838611,-2424.777226,-2404.055936,0,0,0
-2980.535709,-2899.462532,0.15,1.5293,-3546.208667,-3468.309169,-2376.225845,-2402.433568,0,0,0
-2989.522689,-2908.537399,0.15,1.5737,-3543.766512,-3479.984763,-2501.497534,-2406.37804,0,0,0
-2916.022435,-2911.207314,0.163,1.6236,-3469.615516,-3482.207759,-2456.229785,-2410.244349,0,0,0
-2896.922766,-2908.344046,0.163,1.6745,-3460.048852,-3477.84741,-2357.402928,-2409.504597,0,0,0
-2895.789576,-2907.783809,0.179,1.7239,-3453.915416,-3481.102993,-2441.307584,-2419.665157,0,0,0
-2866.947468,-2908.322355,0.179,1.7802,-3427.418225,-3478.069186,-2477.853886,-2413.397084,0,0,0
-2852.586252,-2909.466764,0.18,1.8221,-3401.388521,-3478.137626,-2368.596449,-2410.828147,0,0,0
-2848.872531,-2909.126433,0.18,1.8771,-3404.990045,-3474.242146,-2401.242036,-2406.214981,0,0,0
-2854.916209,-2903.104446,0.193,1.9236,-3421.565281,-3461.594179,-2493.318372,-2406.927431,0,0,0
-2845.050353,-2907.422535,0.193,1.9745,-3415.469244,-3467.694703,-2394.996403,-2415.71657,0,0,0
-2857.392023,-2913.454246,0.225,2.0227,-3431.827567,-3474.363693,-2361.4495,-2424.976376,0,0,0
-2882.281057,-2914.439335,0.225,2.0748,-3437.022288,-3477.847784,-2471.937364,-2417.684132,0,0,0
-2876.368276,-2931.996296,0.226,2.123,-3435.275755,-3492.447979,-2440.727899,-2416.785808,0,0,0
-2880.69534,-2943.586246,0.226,2.1742,-3447.329452,-3503.260404,-2345.73818,-2420.43408,0,0,0
-2895.62876,-2944.650247,0.227,2.2248,-3458.63143,-3508.596867,-2441.685314,-2418.512145,0,0,0
-2886.783897,-2947.332877,0.227,2.273,-3434.826967,-3508.24943,-2469.259596,-2415.023941,0,0,0
-2877.493986,-2943.442633,0.227,2.3242,-3427.152692,-3499.883274,-2350.629969,-2415.872524,0,0,0
-2909.055001,-2937.80249,0.227,2.3748,-3460.198448,-3503.439545,-2403.545814,-2420.281866,0,0,0
-2908.120026,-2928.326332,0.238,2.4302,-3470.827244,-3492.881807,-2486.949323,-2411.077224,0,0,0
-2891.91878,-2925.264476,0.238,2.4714,-3450.227875,-3490.618794,-2390.747876,-2411.674486,0,0,0
-2911.938464,-2914.99284,0.253,2.5248,-3453.855578,-3479.671359,-2363.502705,-2419.749679,0,0,0
-2910.693077,-2922.485356,0.253,2.573,-3457.000833,-3487.858374,-2475.572547,-2424.881195,0,0,0
-2888.597748,-2917.224813,0.269,2.6242,-3450.882357,-3486.371764,-2436.767345,-2417.604472,0,0,0
-2887.898387,-2929.797608,0.269,2.6748,-3459.039079,-3497.559301,-2347.555772,-2419.976316,0,0,0
-2911.901065,-2941.867762,0.27,2.723,-3470.464473,-3504.091784,-2439.366576,-2422.453626,0,0,0
-2909.563628,-2938.803662,0.27,2.7742,-3454.180949,-3505.851781,-2473.22015,-2420.964772,0,0,0
-2900.707545,-2943.333054,0.283,2.8248,-3447.673523,-3510.201284,-2356.314617,-2417.516584,0,0,0
-2927.010261,-2955.342995,0.283,2.873,-3472.233446,-3523.738974,-2392.434571,-2419.133717,0,0,0
-2919.070453,-2966.615802,0.299,2.9242,-3461.174562,-3531.354158,-2486.197603,-2427.221625,0,0,0
-2896.283243,-2951.601225,0.299,2.9748,-3447.434169,-3510.699065,-2383.451331,-2435.745979,0,0,0
-2931.819772,-2950.755634,0.3,3.0232,-3488.883481,-3509.421889,-2365.402574,-2440.640386,0,0,0
-2927.705882,-2962.226655,0.3,3.0739,-3483.355908,-3514.142765,-2468.934225,-2437.105806,0,0,0
-2917.836286,-2980.153491,0.313,3.1236,-3462.835077,-3523.009694,-2450.619935,-2424.844918,0,0,0
-2923.113285,-2994.017301,0.313,3.1745,-3479.844142,-3530.381036,-2355.372163,-2408.063239,0,0,0
-2940.477641,-2999.650338,0.329,3.2239,-3494.426012,-3530.644325,-2439.703167,-2407.028035,0,0,0
-2922.062373,-2993.142912,0.329,3.2736,-3473.901441,-3522.667119,-2465.964744,-2400.996698,0,0,0
-2923.842566,-2998.477131,0.33,3.3245,-3485.581149,-3525.480271,-2374.449392,-2407.148459,0,0,0
-2949.86479,-3002.78213,0.33,3.3739,-3499.961064,-3525.144428,-2415.779027,-2417.489657,0,0,0
-2936.00846,-2994.380819,0.343,3.4236,-3487.653053,-3521.245209,-2498.748707,-2420.770671,0,0,0
-2908.71841,-2989.312132,0.343,3.4745,-3459.626243,-3518.600726,-2391.71651,-2417.734994,0,0,0
-2921.965136,-2981.631874,0.359,3.5274,-3471.952953,-3506.170046,-2361.748692,-2412.765041,0,0,0
-2949.229007,-2984.415855,0.359,3.5739,-3502.276062,-3507.260975,-2477.203144,-2418.361427,0,0,0
-2941.666929,-3014.013424,0.36,3.6245,-3488.266397,-3534.345331,-2445.256918,-2427.894059,0,0,0
-2928.89517,-3009.74358,0.36,3.6739,-3480.371468,-3532.381883,-2357.114956,-2426.138923,0,0,0
-2951.940434,-2999.243063,0.373,3.7236,-3493.846328,-3527.155373,-2448.364775,-2422.684004,0,0,0
-2943.334924,-2983.891895,0.373,3.7745,-3482.017024,-3514.444949,-2480.572793,-2414.640601,0,0,0
-2919.646398,-2967.995077,0.389,3.8239,-3477.158894,-3502.228192,-2371.300396,-2417.234222,0,0,0
-2941.494893,-2961.633507,0.389,3.8736,-3490.820749,-3493.22887,-2394.674771,-2413.156983,0,0,0
-2946.951407,-2950.066744,0.39,3.9245,-3481.156847,-3481.366656,-2498.778626,-2408.255096,0,0,0
-2921.987575,-2943.989033,0.39,3.9739,-3480.274231,-3477.085966,-2392.872139,-2404.914243,0,0,0
-2952.202227,-2947.573353,0.403,4.0236,-3488.614208,-3493.258976,-2369.875495,-2409.030003,0,0,0
-2948.428668,-2946.781242,0.403,4.0764,-3482.409714,-3495.827353,-2479.94075,-2416.474648,0,0,0
-2922.604659,-2945.341381,0.419,4.1246,-3481.78515,-3496.654993,-2432.675895,-2421.165604,0,0,0
-2937.814832,-2941.880477,0.419,4.1748,-3492.406466,-3498.315882,-2352.918788,-2421.33577,0,0,0
-2962.909561,-2930.952863,0.42,4.223,-3518.297794,-3486.492936,-2454.651547,-2416.689692,0,0,0
-2943.084351,-2925.257744,0.42,4.2742,-3490.00919,-3480.216636,-2481.911678,-2420.4266,0,0,0
-2939.961534,-2898.56907,0.433,4.3248,-3480.087236,-3457.913369,-2366.083236,-2411.748911,0,0,0
-2948.230453,-2712.130195,0.433,4.373,-3501.718817,-3281.249097,-2411.261227,-2386.723744,0,1,1
-2945.159995,-2764.158187,0.449,4.4242,-3503.607467,-3321.151586,-2495.999881,-2376.557574,0,1,1
-2920.050307,-2877.013782,0.449,4.4748,-3474.234292,-3433.219183,-2401.391631,-2393.921181,0,0.7,1
-2921.849199,-2929.156964,0.45,4.523,-3476.818563,-3485.133109,-2356.636249,-2405.572092,0,0,0
-2947.643289,-2940.637708,0.45,4.5742,-3495.447005,-3497.039828,-2477.584613,-2408.510531,0,0,0
-2920.947883,-2942.193507,0.463,4.6248,-3466.934008,-3498.771402,-2434.994633,-2416.240156,0,0,0
-2929.875024,-2926.604108,0.463,4.673,-3471.642542,-3485.33469,-2345.798019,-2414.877711,0,0,0
-2957.460526,-2910.498229,0.479,4.7242,-3494.403573,-3472.188941,-2439.112262,-2405.993578,0,0,0
-2908.381819,-2900.634242,0.479,4.7748,-3476.160341,-3470.734494,-2462.819488,-2405.585556,0,0,0
-2897.001304,-2899.539574,0.48,4.823,-3460.314385,-3471.743893,-2338.995141,-2402.3382,0,0,0
-2952.179788,-2901.649252,0.48,4.8742,-3499.673092,-3471.614119,-2397.823767,-2404.148686,0,0,0
-2937.444582,-2901.165308,0.493,4.9248,-3487.843788,-3471.049394,-2488.153571,-2410.434336,0,0,0
-2918.670284,-2897.174087,0.493,4.973,-3463.564358,-3471.855342,-2389.48379,-2418.205848,0,0,0
-2927.975155,-2892.292022,0.509,5.0241,-3483.815916,-3472.205771,-2356.355756,-2420.68054,0,0,0
-2938.532893,-2894.175061,0.509,5.0736,-3492.847774,-3470.770397,-2474.622613,-2412.535038,0,0,0
-2938.854524,-2894.656761,0.51,5.1245,-3476.160341,-3468.429968,-2435.439681,-2409.317602,0,0,0
-2924.927137,-2888.899184,0.51,5.1755,-3491.819302,-3467.955,-2340.408823,-2410.572712,0,0,0
-2921.493908,-2893.317128,0.523,5.2264,-3504.647159,-3471.595045,-2433.289238,-2409.687852,0,0,0
-2911.463497,-2894.146264,0.523,5.2745,-3457.681495,-3468.374617,-2464.120973,-2408.045287,0,0,0
-2892.64806,-2890.195434,0.539,5.3241,-3451.858471,-3465.865518,-2357.616103,-2404.36934,0,0,0
-2935.133324,-2894.950717,0.539,5.3774,-3487.817609,-3469.478636,-2399.170131,-2405.662223,0,0,0
-2927.025221,-2899.655885,0.54,5.4245,-3477.218733,-3470.984693,-2481.167437,-2405.781526,0,0,0
-2909.765582,-2907.568765,0.54,5.4739,-3465.793338,-3475.733618,-2383.604667,-2407.20568,0,0,0
-2914.900465,-2904.873045,0.553,5.5268,-3481.033431,-3474.830806,-2359.433694,-2405.131905,0,0,0
