Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
365.72147,324.1679,362.90665,-335.22928,9.0,1.0,Full hand open
2575.1924,2282.7903,2555.4436,-2361.2327,0.0,2.0,Nothing
8632.134,7653.402,8566.274,-7915.3765,0.0,3.0,Nothing
18743.334,16622.885,18601.34,-17186.49,0.0,4.0,Nothing
30187.654,26781.95,29961.182,-27679.152,0.0,5.0,Nothing
38793.312,34429.195,38506.312,-35568.86,0.0,6.0,Nothing
41374.125,36731.195,41074.48,-37934.914,0.0,7.0,Nothing
37467.727,33271.43,37205.71,-34353.41,0.0,8.0,Nothing
29335.666,26055.459,29142.889,-26897.686,0.0,9.0,Nothing
20207.736,17950.91,20090.125,-18529.197,0.0,10.0,Nothing
12384.546,11000.639,12330.2,-11357.395,0.0,11.0,Nothing
6708.387,5954.0615,6699.2905,-6154.1074,0.0,12.0,Nothing
3076.0098,2722.891,3095.4514,-2824.2197,0.0,13.0,Nothing
856.3818,749.0254,892.9272,-789.3037,0.0,14.0,Nothing
-910.74255,-821.38007,-860.9041,830.64307,0.0,15.0,Nothing
-3030.7102,-2706.0999,-2965.1833,2773.9385,0.0,16.0,Nothing
-5640.6753,-5028.097,-5556.1567,5166.4756,0.0,17.0,Nothing
-8342.059,-7432.8853,-8238.4375,7642.753,0.0,18.0,Nothing
-10782.393,-9606.653,-10662.25,9879.48,0.0,19.0,Nothing
-12881.869,-11478.116,-12748.266,11803.616,0.0,20.0,Nothing
-14602.667,-13013.428,-14458.834,13380.706,0.0,21.0,Nothing
-15859.436,-14136.54,-15709.184,14532.491,0.0,22.0,Nothing
-16717.98,-14905.638,-16564.555,15319.209,0.0,23.0,Nothing
-17418.275,-15533.403,-17262.988,15960.971,0.0,24.0,Nothing
-18103.379,-16146.327,-17946.385,16589.105,0.0,25.0,Nothing
-18697.332,-16676.389,-18539.355,17133.928,0.0,26.0,Nothing
-19106.29,-17039.576,-18948.797,17509.283,0.0,27.0,Nothing
-19368.62,-17269.36,-19212.807,17750.39,0.0,28.0,Nothing
-19535.594,-17411.572,-19382.303,17904.373,0.0,29.0,Nothing
-19557.896,-17423.77,-19408.346,17925.936,0.0,30.0,Nothing
-19386.555,-17263.637,-19242.262,17769.998,0.0,31.0,Nothing
-19079.354,-16982.725,-18941.273,17489.496,0.0,32.0,Nothing
-18718.623,-16654.295,-18586.992,17159.922,0.0,33.0,Nothing
-18300.516,-16275.622,-18175.572,16777.658,0.0,34.0,Nothing
-17781.371,-15808.065,-17663.678,16302.615,0.0,35.0,Nothing
-17172.76,-15260.543,-17062.771,15745.505,0.0,36.0,Nothing
-16519.502,-14671.328,-16417.363,15147.614,0.0,37.0,Nothing
-15825.497,-14043.863,-15731.388,14512.56,0.0,38.0,Nothing
-15064.112,-13355.533,-14978.456,13815.839,0.0,39.0,Nothing
-14237.896,-12609.363,-14161.108,13059.732,0.0,40.0,Nothing
-13379.007,-11834.464,-13311.234,12273.666,0.0,41.0,Nothing
-12504.255,-11046.654,-12445.462,11472.939,0.0,42.0,Nothing
-11606.09,-10239.686,-11556.227,10650.544,0.0,43.0,Nothing
-10680.476,-9409.344,-10639.475,9802.826,0.0,44.0,Nothing
-9738.305,-8564.605,-9705.999,8939.83,0.0,45.0,Nothing
-8792.353,-7717.1147,-8768.487,8073.2305,0.0,46.0,Nothing
-7847.251,-6871.3916,-7831.5693,7207.2534,0.0,47.0,Nothing
-6900.606,-6024.5347,-6892.9287,6339.814,0.0,48.0,Nothing
-5949.809,-5173.222,-5950.045,5468.643,0.0,49.0,Nothing
-5001.097,-4323.7812,-5009.134,4599.3975,0.0,50.0,Nothing
-4068.1921,-3490.5913,-4083.7773,3744.4866,0.0,51.0,Nothing
-3155.8887,-2678.9153,-3178.6748,2908.2532,0.0,52.0,Nothing
-2255.0383,-1879.52,-2284.7168,2082.3916,0.0,53.0,Nothing
-1363.9279,-1089.5509,-1400.2095,1265.3818,0.0,54.0,Nothing
-499.93155,-324.38458,-542.3981,473.11646,0.0,55.0,Nothing
325.35962,405.20068,277.23523,-283.8196,0.0,56.0,Nothing
1125.4991,1111.0977,1072.1592,-1017.8919,0.0,57.0,Nothing
1913.392,1804.4956,1855.1497,-1741.0149,0.0,58.0,Nothing
2674.0037,2471.4656,2611.195,-2439.4497,0.0,59.0,Nothing
3387.9512,3094.8582,3320.95,-3095.3157,0.0,60.0,Nothing
4064.9932,3684.3306,3994.03,-3717.3635,0.0,61.0,Nothing
4724.065,4257.405,4649.2354,-4322.8613,0.0,62.0,Nothing
5355.146,4804.8413,5276.715,-4902.675,0.0,63.0,Nothing
5934.9995,5305.6685,5853.5337,-5435.571,0.0,64.0,Nothing
6469.0186,5765.3203,6385.1113,-5926.5137,0.0,65.0,Nothing
6980.4507,6205.148,6894.4883,-6396.8535,0.0,66.0,Nothing
7465.7505,6621.6367,7378.069,-6843.394,0.0,67.0,Nothing
7899.5996,6991.5405,7810.66,-7242.886,0.0,68.0,Nothing
8281.297,7314.293,8191.5117,-7594.5547,0.0,69.0,Nothing
8636.37,7613.053,8545.928,-7921.742,0.0,70.0,Nothing
8970.216,7892.3804,8879.267,-8229.479,0.0,71.0,Nothing
