Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
8534.571,6957.2383,8425.612,-13063.65,0.0,89.0,Nothing
8281.6875,6752.3643,8178.1045,-12667.943,0.0,90.0,Nothing
8021.6846,6541.421,7923.832,-12258.893,0.0,91.0,Nothing
7755.9146,6325.8057,7663.61,-11839.701,0.0,92.0,Nothing
7470.474,6094.512,7383.576,-11390.478,0.0,93.0,Nothing
7164.351,5846.749,7082.824,-10911.114,0.0,94.0,Nothing
6851.96,5593.918,6775.529,-10424.425,0.0,95.0,Nothing
6537.723,5339.3193,6466.0586,-9936.985,0.0,96.0,Nothing
6210.649,5074.178,6144.0737,-9431.694,0.0,97.0,Nothing
5867.128,4796.015,5806.7104,-8903.2295,0.0,98.0,Nothing
5518.97,4514.5664,5465.7476,-8369.565,0.0,99.0,Nothing
5173.4697,4235.371,5127.7695,-7841.0034,0.0,100.0,Nothing
4823.475,3952.0615,4784.8154,-7305.687,0.0,101.0,Nothing
4464.276,3660.45,4431.5566,-6755.792,0.0,102.0,Nothing
4104.555,3367.484,4076.3787,-6203.911,0.0,103.0,Nothing
3752.3381,3079.7537,3727.4873,-5661.4844,0.0,104.0,Nothing
3403.1052,2793.8528,3381.0728,-5121.466,0.0,105.0,Nothing
3050.5146,2505.1262,3031.7886,-4575.666,0.0,106.0,Nothing
2698.3384,2217.2097,2684.1558,-4032.4438,0.0,107.0,Nothing
2352.862,1935.5535,2344.5007,-3503.1965,0.0,108.0,Nothing
2012.0592,1658.3569,2010.0569,-2984.6206,0.0,109.0,Nothing
1671.278,1381.3247,1675.1908,-2468.3088,0.0,110.0,Nothing
1333.053,1106.2799,1342.0905,-1957.7141,0.0,111.0,Nothing
1002.9245,838.0598,1016.74384,-1462.0417,0.0,112.0,Nothing
680.5227,576.75256,699.2304,-980.8385,0.0,113.0,Nothing
362.55585,319.6307,386.14487,-507.52197,0.0,114.0,Nothing
51.391487,68.1494,79.32173,-43.19313,0.0,115.0,Nothing
-246.6071,-173.14604,-215.3734,404.77286,0.0,116.0,Nothing
-529.84406,-403.32947,-496.28577,834.83466,0.0,117.0,Nothing
-802.1186,-625.3844,-766.6323,1251.6512,0.0,118.0,Nothing
-1065.2638,-840.5182,-1027.7643,1655.8861,0.0,119.0,Nothing
-1317.2122,-1046.9001,-1277.5011,2042.5577,0.0,120.0,Nothing
-1557.1946,-1243.8517,-1515.1576,2409.253,0.0,121.0,Nothing
-1787.6178,-1433.2009,-1743.2836,2758.5142,0.0,122.0,Nothing
-2010.0836,-1615.9697,-1963.5798,3091.466,0.0,123.0,Nothing
-2223.1184,-1790.6173,-2174.5527,3405.1133,0.0,124.0,Nothing
-2424.7275,-1955.2316,-2374.0217,3697.1377,0.0,125.0,Nothing
-2614.4512,-2109.3843,-2561.3025,3968.8,0.0,126.0,Nothing
-2791.7087,-2253.1204,-2735.9697,4221.8325,0.0,127.0,Nothing
-2954.6646,-2385.8777,-2896.7463,4455.933,0.0,128.0,Nothing
-3102.4807,-2507.4539,-3043.094,4670.6685,0.0,129.0,Nothing
-3236.8855,-2618.8594,-3176.4575,4867.424,0.0,130.0,Nothing
-3360.0989,-2721.2517,-3298.6804,5048.2007,0.0,131.0,Nothing
-3472.5376,-2814.7632,-3410.219,5213.806,0.0,132.0,Nothing
-3573.477,-2898.956,-3510.6873,5364.0044,0.0,133.0,Nothing
-3662.7559,-2973.8062,-3600.0342,5498.6406,0.0,134.0,Nothing
-3740.913,-3039.7686,-3678.4814,5618.1187,0.0,135.0,Nothing
-3808.233,-3097.1465,-3746.0142,5722.9546,0.0,136.0,Nothing
-3864.2227,-3145.558,-3802.2556,5812.855,0.0,137.0,Nothing
-3908.0786,-3184.0496,-3846.6392,5886.4116,0.0,138.0,Nothing
-3939.711,-3211.906,-3878.943,5942.3726,0.0,139.0,Nothing
-3960.0674,-3229.32,-3899.7864,5981.0996,0.0,140.0,Nothing
-3970.1023,-3237.072,-3910.1616,6003.8853,0.0,141.0,Nothing
-3969.735,-3235.78,-3910.484,6011.147,0.0,142.0,Nothing
-3958.428,-3225.9287,-3900.7007,6002.751,0.0,143.0,Nothing
-3936.602,-3208.3652,-3881.1306,5979.889,0.0,144.0,Nothing
-3905.6335,-3183.9006,-3852.3486,5944.5996,0.0,145.0,Nothing
