Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
345.92554,280.30356,342.98938,-779.4701,0.0,1.0,Nothing
2436.2617,1973.9784,2415.684,-5491.1494,0.0,2.0,Nothing
8168.5654,6618.3774,8100.002,-18412.96,0.0,3.0,Nothing
17742.146,14375.069,17594.35,-39993.312,0.0,4.0,Nothing
28583.266,23159.408,28347.33,-64428.535,0.0,5.0,Nothing
36738.664,29769.424,36439.164,-82805.81,0.0,6.0,Nothing
39185.383,31756.15,38872.16,-88312.266,0.0,7.0,Nothing
35483.965,28762.49,35210.016,-79960.74,0.0,8.0,Nothing
27778.719,22524.445,27577.742,-62587.156,0.0,9.0,Nothing
19129.598,15520.806,19007.887,-43089.12,0.0,10.0,Nothing
11714.023,9516.013,11658.404,-26374.482,0.0,11.0,Nothing
6329.607,5156.347,6320.1616,-14241.093,0.0,12.0,Nothing
2880.763,2364.178,2899.164,-6472.5957,0.0,13.0,Nothing
771.0707,656.3767,805.05084,-1722.7748,0.0,14.0,Nothing
-909.83014,-704.3689,-863.8655,2061.784,0.0,15.0,Nothing
-2925.2,-2336.5198,-2863.7605,6601.9863,0.0,16.0,Nothing
-5404.027,-4344.904,-5322.6235,12188.541,0.0,17.0,Nothing
-7968.5273,-6423.5195,-7866.585,17969.338,0.0,18.0,Nothing
-10286.274,-8302.712,-10166.716,23193.67,0.0,19.0,Nothing
-12283.212,-9922.108,-12149.771,27692.621,0.0,20.0,Nothing
-13923.699,-11252.789,-13780.204,31384.146,0.0,21.0,Nothing
-15125.6,-12228.428,-14976.162,34083.13,0.0,22.0,Nothing
-15948.761,-12897.673,-15796.439,35927.246,0.0,23.0,Nothing
-16617.572,-13442.278,-16463.107,37426.574,0.0,24.0,Nothing
-17265.84,-13970.569,-17108.873,38885.332,0.0,25.0,Nothing
-17822.148,-14424.725,-17663.309,40141.395,0.0,26.0,Nothing
-18199.693,-14734.49,-18040.723,40995.586,0.0,27.0,Nothing
-18437.008,-14930.939,-18279.44,41532.117,0.0,28.0,Nothing
-18584.014,-15054.024,-18428.707,41863.56,0.0,29.0,Nothing
