Channel 1,Channel 2,Channel 3,Channel 4,Timestamp
5.6513524,-20.307182,242.30878,5.6215134,101.0
-81.174126,-59.717724,240.86095,-81.29284,102.0
136.46405,136.15273,336.65787,136.51222,103.0
346.53485,296.88126,451.04056,346.71075,104.0
269.512,223.31128,471.37286,269.59012,105.0
152.46054,137.04683,453.50516,152.53218,106.0
273.23712,253.07831,494.731,273.37006,107.0
442.905,397.00266,545.0391,443.06946,108.0
391.69098,343.93472,491.2559,391.86078,109.0
258.18958,224.82246,388.80408,258.2176,110.0
298.32825,266.9096,367.53415,298.3415,111.0
418.811,381.76044,372.86282,418.98438,112.0
386.3148,350.2446,285.33875,386.51544,113.0
256.34128,222.05225,138.60867,256.4304,114.0
239.15971,205.15915,56.315273,239.17404,115.0
312.25977,286.0718,32.186535,312.2969,116.0
293.74838,275.66748,-46.27842,293.74402,117.0
185.33708,161.39046,-162.67647,185.37837,118.0
142.05165,111.989494,-217.0193,142.24098,119.0
180.58716,164.81871,-206.262,180.7369,120.0
174.49449,175.41759,-216.5587,174.6482,121.0
95.402565,87.40849,-288.30176,95.60607,122.0
42.8339,20.167923,-368.1817,42.88983,123.0
51.33105,43.15345,-403.97275,51.32841,124.0
49.35333,65.262215,-393.31863,49.497375,125.0
3.5973125,11.961523,-379.1797,3.7852387,126.0
-35.496784,-49.358635,-385.6312,-35.40023,127.0
-37.36723,-41.623043,-367.8805,-37.33973,128.0
-35.102943,-10.686447,-298.86655,-35.10597,129.0
-53.73072,-32.354008,-231.92264,-53.76623,130.0
-74.380226,-80.34359,-207.27998,-74.48332,131.0
-77.34202,-81.227356,-144.07303,-77.464745,132.0
-71.777245,-45.39226,-6.2142005,-71.88426,133.0
-72.02442,-42.38849,85.439384,-72.11871,134.0
-75.553955,-75.00715,97.07126,-75.57876,135.0
-80.73629,-86.38957,102.50524,-80.71015,136.0
-88.444,-65.57617,110.07867,-88.455734,137.0
-87.926254,-55.70705,97.171234,-88.04452,138.0
-79.38979,-74.91348,59.967033,-79.50686,139.0
-80.47339,-89.49029,32.73889,-80.467705,140.0
-92.20755,-76.804886,22.358173,-92.19321,141.0
-91.80222,-61.40691,-17.063478,-91.78277,142.0
-73.55951,-66.52557,-68.667725,-73.444595,143.0
-66.15824,-78.27827,-93.27643,-66.08476,144.0
-79.36528,-72.92554,-100.32594,-79.38444,145.0
-78.89243,-53.457153,-99.15742,-78.869415,146.0
-50.625137,-42.535217,-86.74168,-50.59219,147.0
-32.931957,-46.99017,-77.05325,-32.94789,148.0
-45.636997,-47.648285,-73.520454,-45.657978,149.0
-49.429283,-30.565466,-49.686256,-49.464138,150.0
-20.901564,-12.564777,-22.783594,-20.947075,151.0
0.9279851,-13.391691,-31.966616,0.92104363,152.0
-11.717377,-20.270555,-44.69809,-11.690319,153.0
-22.458412,-10.238441,-19.389166,-22.449125,154.0
1.0101305,9.081146,8.869189,0.99841976,155.0
25.528055,12.476762,-4.812048,25.511885,156.0
15.149134,2.4624677,-22.154884,15.102616,157.0
-0.8633589,5.422493,10.847226,-0.8638567,158.0
15.717151,23.214907,49.05778,15.772535,159.0
41.642033,31.064245,47.63524,41.577747,160.0
37.3601,23.128147,59.93152,37.27598,161.0
18.636868,20.315195,105.4715,18.589502,162.0
25.641905,32.42566,127.80094,25.538702,163.0
48.87441,41.628418,114.85884,48.856777,164.0
47.907467,34.288624,115.70354,47.913074,165.0
25.935677,24.613213,134.54759,25.931824,166.0
23.911287,30.189034,141.78331,23.975897,167.0
46.795418,43.09434,166.45529,46.818073,168.0
53.604824,42.143517,212.11096,53.620544,169.0
32.270092,29.371386,221.01854,32.287125,170.0
21.929459,27.564198,199.2791,21.920277,171.0
38.199177,37.600277,193.74506,38.16611,172.0
44.164146,35.77429,184.63356,44.10583,173.0
21.396755,18.118925,132.07123,21.377478,174.0
5.234639,9.873915,83.495186,5.1634455,175.0
17.340397,18.957901,84.529106,17.297884,176.0
25.571054,20.287458,72.55001,25.621042,177.0
7.6621847,4.6537232,21.353914,7.6362953,178.0
-9.082235,-5.304875,-14.399791,-9.103378,179.0
-2.7937982,0.17378113,-33.295574,-2.7904143,180.0
4.4583507,1.8443468,-75.88537,4.447678,181.0
-8.499781,-10.744269,-126.103226,-8.429732,182.0
-22.913723,-20.0192,-134.9496,-22.810333,183.0
-18.786467,-15.345151,-134.25826,-18.696508,184.0
-10.5261,-11.195417,-166.44672,-10.424608,185.0
-16.5718,-17.944191,-187.9488,-16.494184,186.0
-28.291132,-26.138605,-185.04234,-28.198885,187.0
-26.788086,-23.633171,-182.53319,-26.685986,188.0
-16.608786,-16.264122,-183.47906,-16.673008,189.0
-16.217308,-16.976097,-172.1411,-16.325708,190.0
-23.616283,-22.362022,-143.66145,-23.630259,191.0
-23.703777,-21.458162,-135.40518,-23.757454,192.0
-14.987839,-14.113616,-132.9194,-14.96655,193.0
-11.490705,-11.575694,-112.59461,-11.395712,194.0
-18.506987,-17.689644,-113.7221,-18.488817,195.0
-21.005306,-19.39784,-119.71211,-20.962053,196.0
-12.527854,-11.630947,-96.97439,-12.49081,197.0
-6.7448153,-6.548759,-67.85001,-6.7402897,198.0
-10.181145,-9.7189,-54.14306,-10.103331,199.0
-11.395835,-10.718627,-37.94244,-11.320121,200.0
-3.4121892,-2.9542263,3.5237122,-3.3995905,201.0
2.713332,3.100401,32.497524,2.6618156,202.0
0.32640624,0.6006156,33.28752,0.22916558,203.0
-0.6706431,-0.72095674,52.744564,-0.7009527,204.0
4.8774123,4.889769,86.99342,4.8784127,205.0
8.650022,9.051506,90.438484,8.601161,206.0
6.8612757,7.09062,80.65569,6.7808037,207.0
6.5265694,5.9833984,102.71952,6.459546,208.0
9.68043,9.04419,124.440895,9.673879,209.0
11.516323,11.734086,114.48756,11.433423,210.0
11.076446,11.40762,111.30983,10.932736,211.0
10.459271,9.7766485,123.27573,10.416697,212.0
10.942353,9.90464,123.513306,10.842001,213.0
12.128748,11.998786,117.83655,11.979322,214.0
12.828081,13.302414,125.865456,12.813857,215.0
12.339813,11.978324,132.07777,12.366698,216.0
11.152179,10.061337,117.62418,11.21104,217.0
10.842365,10.607909,105.51847,10.946659,218.0
11.310656,11.836796,109.84175,11.32859,219.0
10.564385,10.245951,104.72751,10.554489,220.0
8.607807,7.3729944,82.337776,8.642982,221.0
7.6844993,7.2435846,72.10475,7.716609,222.0
7.499879,8.166392,71.24956,7.5364585,223.0
5.695616,5.703941,48.187054,5.717871,224.0
3.4272366,2.3677049,21.44131,3.3976133,225.0
2.1174645,1.69292,11.950066,2.0858986,226.0
-0.35027534,0.40362915,-13.8909235,-0.3637775,227.0
-4.2771077,-3.960951,-67.408394,-4.2945175,228.0
-7.234811,-8.108468,-107.682396,-7.2269344,229.0
-9.173431,-9.741036,-123.19969,-9.17952,230.0
-11.62711,-10.896885,-145.19662,-11.63502,231.0
-12.114611,-11.39959,-154.96254,-12.082608,232.0
-9.111246,-9.573595,-124.595955,-9.111246,233.0
-7.3405285,-7.9263015,-97.341774,-7.3380113,234.0
-8.146258,-7.6017995,-95.72976,-8.125481,235.0
-6.589859,-5.7351775,-77.90474,-6.5806684,236.0
-2.7507753,-2.9898467,-40.294125,-2.739518,237.0
-2.5924358,-3.2282894,-35.686707,-2.621458,238.0
-4.982306,-4.552762,-50.990303,-4.978857,239.0
-3.9008992,-2.981817,-34.864998,-3.7947278,240.0
-1.0667877,-1.0117847,-11.472528,-0.9118493,241.0
-0.94461954,-1.4686354,-10.810228,-0.8293389,242.0
-1.6615349,-1.5452484,-5.8513103,-1.6385449,243.0
0.9700714,1.7356212,31.341833,1.0142686,244.0
4.9660993,5.150542,69.840454,5.0379295,245.0
6.520045,5.985049,84.47961,6.5760155,246.0
7.276403,7.239806,105.95069,7.2971125,247.0
8.237654,8.830467,124.32459,8.134654,248.0
8.178081,8.3389225,111.499954,8.083182,249.0
7.821721,7.388101,99.20744,7.787114,250.0
9.151303,9.066674,126.85819,9.136051,251.0
12.039024,12.505602,171.08571,12.057541,252.0
14.326027,14.495017,187.90785,14.258212,253.0
16.356974,16.013084,201.49417,16.255224,254.0
16.86135,16.633242,215.61859,16.844168,255.0
12.6356735,12.794792,172.3408,12.593793,256.0
6.570427,6.6591606,88.29458,6.4383574,257.0
2.7598457,2.4688158,29.444593,2.6449127,258.0
-0.5747351,-0.8614232,-8.446065,-0.63230217,259.0
-4.4156566,-4.3625054,-46.616947,-4.4500475,260.0
-4.237605,-4.029083,-47.011208,-4.214626,261.0
-0.12817496,-0.082011946,-6.6763253,-0.11634028,262.0
2.2452111,2.1171463,22.635265,2.1640258,263.0
1.990204,1.9803182,28.484413,1.9727455,264.0
1.8184401,1.9470774,26.663172,1.8646445,265.0
0.971508,0.9658045,6.121902,0.95008177,266.0
-3.2250078,-3.326096,-48.515186,-3.216152,267.0
-7.3229704,-7.3760524,-90.360985,-7.272888,268.0
-7.827157,-7.819712,-93.9042,-7.791969,269.0
-8.5919,-8.562624,-112.05027,-8.616236,270.0
-11.490163,-11.538815,-152.2453,-11.6026535,271.0
-13.970207,-14.110019,-176.56258,-14.023163,272.0
-15.717991,-15.892075,-194.26964,-15.647378,273.0
-18.855972,-18.893572,-239.11203,-18.715437,274.0
-22.7426,-22.571304,-291.21307,-22.60274,275.0
-25.29772,-25.186316,-317.8122,-25.223234,276.0
-26.675318,-26.805916,-331.5107,-26.642012,277.0
-25.924194,-26.046724,-326.88788,-25.89479,278.0
-22.037045,-21.940683,-282.73068,-21.997337,279.0
-17.556921,-17.50339,-222.94804,-17.504538,280.0
