Channel 1,Channel 2,Channel 3,Channel 4,Class,Timestamp,Class Description
367.6088,305.6299,361.8919,-498.74274,10.0,1.0,Full hand close
2589.059,2152.523,2548.84,-3513.3218,0.0,2.0,Nothing
8681.59,7218.1084,8546.894,-11780.451,0.0,3.0,Nothing
18859.11,15681.34,18566.867,-25588.467,0.0,4.0,Nothing
30388.404,25271.213,29918.229,-41229.42,0.0,5.0,Nothing
39066.242,32493.299,38463.55,-53004.91,0.0,6.0,Nothing
41674.0,34669.97,41035.074,-56551.746,0.0,7.0,Nothing
37740.23,31407.248,37169.03,-51229.027,0.0,8.0,Nothing
29545.01,24599.762,29109.203,-40126.21,0.0,9.0,Nothing
20344.47,16954.377,20059.63,-27658.48,0.0,10.0,Nothing
12455.448,10397.086,12299.888,-16968.21,0.0,11.0,Nothing
6726.8623,5633.712,6664.87,-9205.542,0.0,12.0,Nothing
3058.522,2581.7131,3055.6147,-4232.841,0.0,13.0,Nothing
817.1156,715.6809,849.059,-1191.5688,0.0,14.0,Nothing
-966.8689,-769.7728,-908.3155,1230.8661,0.0,15.0,Nothing
-3107.735,-2551.6528,-3017.3752,4137.336,0.0,16.0,Nothing
-5743.9478,-4745.143,-5614.103,7715.595,0.0,17.0,Nothing
-8473.234,-7015.586,-8302.364,11419.8955,0.0,18.0,Nothing
-10941.001,-9068.082,-10732.99,14768.584,0.0,19.0,Nothing
-13067.489,-10836.746,-12827.539,17653.309,0.0,20.0,Nothing
-14813.743,-12289.897,-14548.031,20021.854,0.0,21.0,Nothing
-16091.712,-13354.729,-15808.175,21755.502,0.0,22.0,Nothing
-16965.494,-14084.344,-16671.139,22941.744,0.0,23.0,Nothing
-17675.3,-14678.017,-17373.266,23906.756,0.0,24.0,Nothing
-18364.912,-15255.075,-18056.078,24845.424,0.0,25.0,Nothing
-18958.53,-15752.486,-18644.943,25654.355,0.0,26.0,Nothing
-19362.488,-16092.304,-19047.393,26206.176,0.0,27.0,Nothing
-19616.006,-16307.032,-19301.69,26554.508,0.0,28.0,Nothing
-19771.578,-16440.312,-19459.19,26771.14,0.0,29.0,Nothing
-19780.52,-16451.688,-19471.61,26790.12,0.0,30.0,Nothing
-19593.455,-16300.118,-19290.307,26544.404,0.0,31.0,Nothing
-19267.885,-16033.345,-18972.43,26111.732,0.0,32.0,Nothing
-18887.459,-15720.639,-18600.81,25604.28,0.0,33.0,Nothing
-18450.342,-15360.055,-18173.562,25017.81,0.0,34.0,Nothing
-17912.98,-14915.127,-17647.549,24293.207,0.0,35.0,Nothing
-17285.129,-14394.096,-17032.44,23445.611,0.0,36.0,Nothing
-16610.746,-13834.036,-16371.857,22536.37,0.0,37.0,Nothing
-15894.848,-13239.941,-15671.114,21572.654,0.0,38.0,Nothing
-15111.759,-12591.052,-14905.013,20519.37,0.0,39.0,Nothing
-14263.427,-11888.813,-14075.113,19378.906,0.0,40.0,Nothing
-13381.519,-11158.805,-13211.921,18193.656,0.0,41.0,Nothing
-12484.099,-10415.393,-12332.365,16986.934,0.0,42.0,Nothing
-11565.05,-9653.304,-11429.876,15749.196,0.0,43.0,Nothing
-10620.102,-8869.031,-10500.48,14473.802,0.0,44.0,Nothing
-9659.634,-8071.1914,-9555.041,13174.219,0.0,45.0,Nothing
-8697.43,-7271.336,-8607.555,11869.04,0.0,46.0,Nothing
-7739.114,-6474.425,-7663.729,10567.062,0.0,47.0,Nothing
-6781.3535,-5677.779,-6720.3296,9265.722,0.0,48.0,Nothing
-5820.388,-4877.986,-5773.552,7961.137,0.0,49.0,Nothing
-4863.371,-4080.8247,-4830.381,6663.1074,0.0,50.0,Nothing
-3925.5269,-3299.2673,-3906.0986,5392.134,0.0,51.0,Nothing
-3010.7588,-2537.1362,-3005.1506,4153.647,0.0,52.0,Nothing
-2107.0728,-1785.0366,-2116.3025,2931.7454,0.0,53.0,Nothing
-1211.2272,-1040.6404,-1236.4852,1722.2899,0.0,54.0,Nothing
-341.37177,-318.7953,-382.8659,549.7983,0.0,55.0,Nothing
490.06686,371.11957,433.63297,-569.04126,0.0,56.0,Nothing
1296.6575,1041.473,1227.4537,-1652.6279,0.0,57.0,Nothing
2090.4377,1702.6443,2010.6655,-2717.4697,0.0,58.0,Nothing
2854.1917,2339.6716,2765.6558,-3741.1074,0.0,59.0,Nothing
3566.91,2934.0974,3470.7058,-4697.054,0.0,60.0,Nothing
4237.9165,3493.1765,4134.2153,-5600.8936,0.0,61.0,Nothing
4885.308,4031.9768,4773.7417,-6479.865,0.0,62.0,Nothing
5497.4297,4540.956,5378.0312,-7319.2236,0.0,63.0,Nothing
6051.2437,5001.1177,5924.78,-8086.224,0.0,64.0,Nothing
6555.791,5420.315,6422.99,-8789.405,0.0,65.0,Nothing
7038.729,5822.085,6899.691,-9462.18,0.0,66.0,Nothing
7498.864,6205.769,7353.5015,-10099.691,0.0,67.0,Nothing
7912.126,6551.0903,7760.5903,-10666.778,0.0,68.0,Nothing
8278.914,6857.8477,8121.391,-11163.038,0.0,69.0,Nothing
8623.54,7146.1543,8460.385,-11623.627,0.0,70.0,Nothing
8946.797,7417.0933,8779.306,-12054.203,0.0,71.0,Nothing
9221.264,7648.277,9051.769,-12421.461,0.0,72.0,Nothing
